"Name","Publisher","Website","Film Simulation","BW Color WC","BW Color MC","Grain Effect","CCR Effect","CCR FX Blue","White Balance","Kelvin","White Balance R","White Balance B","Dynamic Range","Dynamic Range Priority","Highlights","Shadows","Sharpness","Color","High ISO NR","Clarity","ISO min","ISO max","X-Trans"
"1960 Chrome","Fuji X Weekly","https://fujixweekly.com/2024/07/15/1960-chrome-fujifilm-x-t5-x-trans-v-x-e4-x-trans-iv-film-simulation-recipe/","Eterna Bleach Bypass","","","Strong/Large","Strong","Off","Fluorescent 1","","-2","-4","DR400","","-2","-1","-1","+2","-4","-2","","6400","V"
"1970’s Summer","Fuji X Weekly","https://fujixweekly.com/2022/11/27/1970s-summer-fujifilm-x-t5-x-trans-v-film-simulation-recipe/","Nostalgic Neg.","","","Strong/Large","Strong","Strong","Kelvin","6500","-1","-4","DR400","","-2","-0.5","-2","-2","-4","-3","","6400","V"
"1976 Kodak","Fuji X Weekly","https://fujixweekly.com/2023/08/03/1976-kodak-fujifilm-x-t5-x-trans-v-film-simulation-recipe/","Nostalgic Neg.","","","Strong/Small","Strong","Off","Auto","","-2","-4","DR200","","+1.5","+3","-2","","-4","-3","","6400","V"
"Agfa APX 400","Fuji X Weekly","https://fujixweekly.com/2019/04/18/my-fujifilm-x-t30-acros-film-simulation-recipe-agfa-apx-400/","Acros","2","","Weak/Small","Strong","","Auto","","","","DR400","","-2","+4","+4","0","-4","0","","12800","IV"
"Agfa Ultra 100 v2","Fuji X Weekly","https://fujixweekly.com/2024/02/20/agfa-ultra-100-v2-fujifilm-x-t5-x-trans-v-film-simulation-recipe/","Nostalgic Neg.","","","Weak/Large","Weak","Weak","Kelvin","5800","-3","-3","DR400","","+1.5","+1","-2","+3","-4","-2","","6400","V"
"Appalachian Negative","Fuji X Weekly","https://fujixweekly.com/2024/06/18/appalachian-negative-fujifilm-x100vi-x-trans-v-film-simulation-recipe/","Nostalgic Neg.","","","Weak/Large","Strong","Weak","Kelvin","5200","2","-2","DR400","","-1.5","0","+2","+4","-4","0","","6400","V"
"Astia Summer","Fuji X Weekly","https://fujixweekly.com/2024/05/16/fujifilm-x-t50-film-dial-settings-14-new-film-simulation-recipes-yes-14/","Astia","","","Weak/Small","Strong","Weak","White Priority","","2","-4","DR400","","-1.5","-1","-1","+3","-4","-2","","6400","V"
"California Summer","Fuji X Weekly","https://fujixweekly.com/2024/06/04/california-summer-fujifilm-x100vi-x-trans-v-film-simulation-recipe/","Nostalgic Neg.","","","Weak/Small","Strong","Weak","Kelvin","6700","-1","-6","DR400","","-2","-1","-2","+4","-4","-4","","6400","V"
"Cinematic Film","Fuji X Weekly","https://fujixweekly.com/2024/05/16/fujifilm-x-t50-film-dial-settings-14-new-film-simulation-recipes-yes-14/","Eterna","","","Weak/Small","Strong","Weak","White Priority","","2","-4","DR400","","-1.5","-1","-1","+3","-4","-2","","6400","V"
"CineStill 400D v1","Fuji X Weekly","https://fujixweekly.com/2023/01/17/cinestill-400d-v1-a-fujifilm-x-trans-iv-v-film-simulation-recipe/","Astia","","","Strong/Small","Strong","Strong","Fluorescent 1","","-6","-3","DR200","","+3","+1","-2","+2","-4","-4","","6400","V"
"CineStill 400D v2","Fuji X Weekly","https://fujixweekly.com/2023/01/17/cinestill-400d-v2-a-fujifilm-x-trans-iv-v-film-simulation-recipe/","Astia","","","Strong/Small","Strong","Weak","Fluorescent 1","","-2","4","DR200","","-2","0","-2","+2","-4","-4","","6400","V"
"Classic Color","Fuji X Weekly","https://fujixweekly.com/2024/04/22/classic-color-fujifilm-x-t5-x-trans-v-and-x-e4-x-trans-iv-film-simulation-recipe/","Classic Chrome ","","","Strong/Small","Strong","Weak","Kelvin","5300","0","-6","DR400","","-0.5","-2","-2","+3","-4","-2","","6400","V"
