"Name","Publisher","Website","Film Simulation","BW Color WC","BW Color MC","Grain Effect","CCR Effect","CCR FX Blue","White Balance","Kelvin","White Balance R","White Balance B","Dynamic Range","Dynamic Range Priority","Highlights","Shadows","Sharpness","Color","High ISO NR","Clarity","ISO min","ISO max","X-Trans"
"1970’s Summer","Fuji X Weekly","https://fujixweekly.com/2022/11/27/1970s-summer-fujifilm-x-t5-x-trans-v-film-simulation-recipe/","Nostalgic Neg.","","","Strong/Large","Strong","Strong","Kelvin","6500","-1","-4","DR400","Off","-2","-1","-2","-2","-4","-3","","6400","V"
"1976 Kodak","Fuji X Weekly","https://fujixweekly.com/2023/08/03/1976-kodak-fujifilm-x-t5-x-trans-v-film-simulation-recipe/","Nostalgic Neg.","","","Strong/Small","Strong","Off","Auto","","-2","-4","DR200","Off","+1.5","+3","-2","","-4","-3","","6400","V"
"Appalachian Negative","Fuji X Weekly","https://fujixweekly.com/2024/06/18/appalachian-negative-fujifilm-x100vi-x-trans-v-film-simulation-recipe/","Nostalgic Neg.","","","Weak/Large","Strong","Weak","Kelvin","5200","2","-2","DR400","Off","-1.5","0","+2","","-4","0","","6400","V"
"California Summer","Fuji X Weekly","https://fujixweekly.com/2024/06/04/california-summer-fujifilm-x100vi-x-trans-v-film-simulation-recipe/","Nostalgic Neg.","","","Weak/Small","Strong","Weak","Kelvin","6700","-1","-6","DR400","Off","-2","-1","-2","","-4","-4","","6400","V"
"CineStill 400D v1","Fuji X Weekly","https://fujixweekly.com/2023/01/17/cinestill-400d-v1-a-fujifilm-x-trans-iv-v-film-simulation-recipe/","Astia","","","Strong/Small","Strong","Strong","Fluorescent 1","","-6","-3","DR200","Off","+3","+1","-2","+2","-4","-4","","6400","V"
"CineStill 400D v2","Fuji X Weekly","https://fujixweekly.com/2023/01/17/cinestill-400d-v2-a-fujifilm-x-trans-iv-v-film-simulation-recipe/","Astia","","","Strong/Small","Strong","Weak","Fluorescent 1","","-2","4","DR200","Off","-2","0","-2","+2","-4","-4","","6400","V"
"Classic Color","Fuji X Weekly","https://fujixweekly.com/2024/04/22/classic-color-fujifilm-x-t5-x-trans-v-and-x-e4-x-trans-iv-film-simulation-recipe/","Classic Chrome ","","","Strong/Small","Strong","Weak","Kelvin","5300","0","-6","DR400","Off","-0.5","-2","-2","+3","-4","-2","","6400","V"
"Easy Reala Ace","Fuji X Weekly","https://fujixweekly.com/2024/06/20/easy-reala-ace-fujifilm-x100vi-x-trans-v-film-simulation-recipe/","Reala Ace","","","Weak/Small","Strong","Weak","Auto","","","","DR400","Off","-1","0","0","0","-4","0","","6400","V"
"Emulsion ’86","Fuji X Weekly","https://fujixweekly.com/2023/01/07/creating-your-own-film-simulation-recipe-for-a-unique-look-emulsion-86-a-fujifilm-x-t5-x-trans-v-film-simulation-recipe/","Nostalgic Neg.","","","Strong/Small","Strong","Off","White Priority","","2","-1","DR400","Off","-2","+2","-2","","-4","-3","","6400","V"
"Expired ECN-2 100T","Fuji X Weekly","https://fujixweekly.com/2024/02/01/expired-ecn-2-100t-fujifilm-x-trans-iv-x-trans-v-film-simulation-recipe/","Eterna Bleach Bypass","","","Strong/Large","Strong","Weak","Kelvin","6000","-9","-6","DR400","Off","+0.5","-1","-3","+1","-4","-4","","6400","V"
"Fujicolor Industrial 100","Fuji X Weekly","https://fujixweekly.com/2024/04/05/fujicolor-100-industrial-fujifilm-x100vi-x-trans-v-film-simulation-recipe/","Reala Ace","","","Weak/Small","Weak","Off","Kelvin","3100","8","-8","DR400","Off","+0.5","+1.5","-1","-1","-4","-2","","6400","V"
"Fujicolor Natura 1600","Fuji X Weekly","https://fujixweekly.com/2024/02/29/fujicolor-natura-1600-fujifilm-x-t5-x-trans-v-film-simulation-recipe/","Classic Neg.","","","Strong/Large","Strong","Weak","Kelvin","5500","-1","-2","DR400","Off","-1.5","+1.5","-2","-2","-4","-4","","6400","V"
"Fujicolor Reala 100","Fuji X Weekly","https://fujixweekly.com/2023/09/06/fujicolor-reala-100-fujifilm-x-t5-x-trans-v-film-simulation-recipe/","Classic Neg.","","","Weak/Small","Strong","Weak","Daylight","","-1","1","DR400","Off","0","0","-2","0","-4","-3","","6400","V"
